returns,signed_log_returns
37.4495,3.649345691965931
-15.7921,-2.8209085377173695
-18.8998,-2.990709681428686
-8.66782,-2.2688028445462787
-1.58796,-0.9508699205686688
-7.44236,-2.133261890374322
15.2907,2.790594392838664
-14.4412,-2.737039261783825
-12.8145,-2.625718765176078
-11.4942,-2.5252645366269446
-12.0617,-2.5696842838303997
-2.42411,-1.2308415839316857
-3.66963,-1.5410798394199576
-10.5434,-2.446113845068845
-16.2258,-2.8464082599431433
-11.8384,-2.55244067990537
-7.6831,-2.161378607769072
33.5259,3.541709767022208
-7.91459,-2.187689260352881
-20.6335,-3.0742430391725044
-3.05978,-1.401128784953344
47.4398,3.88032178985721
28.6176,3.3883687792232835
-14.5655,-2.745056926731306
-5.3035,-1.841105034689187
-4.67151,-1.7354553962173804
-1.71597,-0.9991491639800705
-12.3623,-2.5924373089800326
-6.27981,-1.9851047629669134
-15.3599,-2.794833218686482
-16.6489,-2.8706734584909746
-17.4457,-2.9148312809926673
-4.62996,-1.7281023373306226
-11.8921,-2.556614720671479
-16.0482,-2.8360446263089187
-14.0562,-2.711789866495497
-16.5602,-2.8656349776637504
-15.0698,-2.776941734121259
-2.57567,-1.2741525711738386
-12.5499,-2.6063791672246763
-5.58071,-1.8841426422517067
-8.35573,-2.2359889898189858
-13.2497,-2.6567358538614707
44.9993,3.828626178982005
-10.0137,-2.399139952408677
-4.58798,-1.720617862290243
0.124414,0.11726201105774876
-3.49845,-1.5037328929972167
-7.06304,-2.087290656623235
-8.0367,-2.2012940635114266
-6.33667,-1.9928850612090943
-18.9508,-2.9932692427825054
71.1342,4.278528273019471
-3.58776,-1.5233918875239978
-9.20309,-2.322690615589283
-17.0708,-2.894297375898637
-4.51264,-1.7070436372758673
56.2733,4.047834546537208
-2.63322,-1.2901193074199369
-10.3631,-2.4303712633899757
-15.913,-2.828082556991905
-5.9052,-1.9322747509602567
-7.34313,-2.121438445723508
-10.9907,-2.484131349320249
-8.01207,-2.198564789961048
-5.09769,-1.807910010934069
-11.6531,-2.537902244439944
-8.66607,-2.26862181527542
-10.2638,-2.4215940435762344
-7.23412,-2.1082864969602446
14.2305,2.723299996309086
41.4827,3.7490969342359093
-10.9611,-2.481659717537353
-14.6873,-2.7528514678067495
-17.1061,-2.8962488980690364
-6.45616,-2.0090405363805117
-9.01544,-2.304127902251559
-1.65834,-0.9777018678366445
-16.1989,-2.8448454282859235
-14.1483,-2.717888314438106
-14.0257,-2.7097620683543395
63.1303,4.160916951147647
-16.168,-2.843047185888343
-2.91597,-1.365063063760472
39.1423,3.6924306411785595
-13.0282,-2.6410695893761846
-1.03927,-0.7125919006777364
-8.3413,-2.2344454288507407
-12.2199,-2.5817232700984105
-6.01399,-1.9479067259969813
16.7005,2.8735928877683703
-8.50866,-2.2522029623181026
62.9361,4.15788414708893
-10.4988,-2.442242682098504
-18.5108,-2.9709681584073726
-4.44059,-1.6938875108692903
-16.2145,-2.8457520519306994
-13.9094,-2.701991886518246
-13.572,-2.6791018791463173
-15.2246,-2.786528608973467
-7.15141,-2.098190918423905
-2.10004,-1.131415014633661
38.7034,3.681436826343431
-15.3405,-2.7936466887188955
-16.8673,-2.882972226541584
-8.77971,-2.280309831255348
39.9254,3.7117508971862203
-2.96216,-1.3767893311055857
-11.1737,-2.499277887086973
65.0426,4.190299988355686
-12.2704,-2.585535991069925
-10.7124,-2.4606481096412196
14.2477,2.724428672006859
-9.8113,-2.3805918834400073
-7.0949,-2.0912342337487866
28.8326,3.3956017553049955
-4.02349,-1.6141249112742773
51.9148,3.9686830728919418
-2.15148,-1.147872183766534
32.2592,3.5043314205590894
-4.32326,-1.6720858976342432
-16.3753,-2.855049657488847
20.5991,3.072651647155373
71.2084,4.279556382621706
-13.5305,-2.6762498885524124
-8.87369,-2.2898736437594565
12.2315,2.5826003503847943
-6.79739,-2.0537890623147113
-14.1031,-2.7149000207633702
-3.78571,-1.5656343942529183
-10.0369,-2.4012442043166122
-6.62927,-2.0319921657519893
