average_returns,signed_average_log_returns
-0.924533,-0.6546833409056402
-0.0114616,-0.011396413484371828
-0.0223877,-0.022140774052334136
-0.0239219,-0.023640254177397447
-0.014883,-0.014773334913585132
0.00518346,0.005170072114996354
0.000373568,0.0003734982408473387
-0.00206917,-0.0020670322162063474
-0.00150716,-0.0015060253742658104
0.00584069,0.005823699296349644
-0.00435144,-0.004341999860522682
-0.00319299,-0.003187903232552101
0.017148,0.01700263253556394
-0.0131942,-0.013107914691572471
-0.00660518,-0.006583461383043104
-0.0077824,-0.007752273329370513
0.00584602,0.005828998332202014
0.00185856,0.0018568350143587076
0.000952767,0.0009523134056121678
0.000325057,0.00032500418041931517
0.00249523,0.002492122082529228
0.00791258,0.007881439697767178
-0.00853743,-0.008501192249926954
0.000115499,0.0001154923305040413
0.0142127,0.014112646485353111
0.00829657,0.008262342645898986
-0.00479005,-0.00477861421461455
0.00688802,0.006864405964192299
-0.00578334,-0.005766680689333364
-0.0103033,-0.010250582802742754
0.00895933,0.008919433324227458
-0.000185777,-0.0001857597455900841
0.009377,0.009333308851069897
0.000411176,0.00041109149031328844
-0.0109866,-0.010926685746737972
0.0017723,0.0017707313295179847
0.00719502,0.007169259335459059
-0.00345363,-0.0034476799155694136
-5.15752e-05,-5.1573870045100746e-05
0.00179907,0.0017974536119406898
-0.00369857,-0.0036917471080981103
-0.000377313,-0.00037724183535035107
0.00790225,0.007871190740525313
-0.000536214,-0.0005360702886441677
-0.0139912,-0.01389422663034682
0.00149032,0.0014892105752772498
-0.0034459,-0.0034399764905753004
-0.00293382,-0.0029295247490485217
-0.000296003,-0.00029595919975511825
-0.0018162,-0.0018145527030255938
0.0130855,0.013000624468900577
-0.00553128,-0.005516038647742115
0.00862413,0.00858715462574517
-0.00354652,-0.003540245927651004
0.00207658,0.0020744268879761365
0.00577988,0.005763240578711335
-0.00202785,-0.0020257966875932114
0.000169322,0.00016930766664810304
-0.00194463,-0.0019427416547737602
0.00459222,0.00458170792794846
0.00533018,0.005316024867906257
0.000674451,0.0006742236601382876
-0.0031506,-0.0031456472598287975
0.000437053,0.00043695752015641726
0.000983499,0.0009830156817278992
0.0046199,0.0046092610167699135
-0.00184276,-0.001841064200772252
0.00741861,0.0073912274563816
0.00105529,0.0010547335729348222
-0.00195983,-0.0019579120386954483
0.00127029,0.001269483864269836
-0.00136693,-0.0013659966016841686
0.0010194,0.001018880764662375
-0.00787869,-0.007847815184646636
0.0199862,0.019789097792891692
0.00161466,0.001613357838052963
-0.0192347,-0.019052051567031388
-0.00382484,-0.003817543897851627
-0.0146796,-0.01457289763642899
0.00514526,0.005132068379960824
-0.00382783,-0.003820522500719226
-0.00140576,-0.0014047728444387723
